Tittle,Author,Narrated,Length,Release,Language
The Eighth Harmony,A. F. Kay,Travis Baldree,14 hrs and 33 mins,07-10-23,English
Cartel Queen,JaQuavis Coleman,Cary Hite,7 hrs and 2 mins,07-10-23,English
Everything,Dakota Krout,Christian J. Gilliland,13 hrs and 42 mins,06-21-23,English
Magic Tides & Magic Claims,Ilona Andrews,"Hillary Huber, Michael Glenn",12 hrs and 21 mins,07-10-23,English
Too Late,Colleen Hoover,"Ryan Gray, Maxine Mitchell, Joe Arden",10 hrs and 19 mins,06-27-23,English
The Pucking Wrong Number,C.R. Jane,"Troy Duran, Alexis Paige",9 hrs and 45 mins,07-11-23,English
Defiant,Michael R. Miller,Peter Kenny,26 hrs and 30 mins,07-13-23,English
Flags on the Bayou,James Lee Burke,"MacLeod Andrews, Michael Crouch, Dana Gourrier, Marin Ireland, January LaVoy, Ray Porter, James Lee Burke",8 hrs and 53 mins,07-11-23,English
Shallow River,H. D. Carlton,"Jacob Morgan, Michelle Sparks",13 hrs and 2 mins,07-05-23,English
Hunted,Suzanne Wright,Cat Doucette,14 hrs and 32 mins,07-06-23,English
Dragon's Justice 7,Bruce Sentar,"Jessica Threet, Jack Douglas",10 hrs and 3 mins,07-09-23,English
Profit First,Mike Michalowicz,Mike Michalowicz,7 hrs and 52 mins,07-11-23,English
The Warrior Poet Way,John Lovell,"John Lovell, Rebekah Lovell",7 hrs and 46 mins,07-11-23,English
King of Pride,Ana Huang,"David Lee Huynh, Emery Erickson",11 hrs and 18 mins,06-15-23,English
Cypress Ashes,Kai Butler,Greg Tremblay,14 hrs and 38 mins,07-10-23,English
Woods of the Raven,Mary Calmes,Greg Tremblay,7 hrs and 39 mins,06-22-23,English
Something Unexpected,Vi Keeland,"Teddy Hamilton, Andi Arndt",8 hrs and 39 mins,07-03-23,English
Double Pucked,Lauren Blakely,"Samantha Brentmoor, J.F. Harding, Robert Hatchet",8 hrs and 29 mins,06-30-23,English
One True Loves,Taylor Jenkins Reid,"Julia Whelan, Taylor Jenkins Reid",8 hrs and 53 mins,06-13-23,English
Hello Stranger,Katherine Center,Patti Murin,10 hrs and 39 mins,07-11-23,English
Unbroken Bonds of Battle,Johnny Joey Jones,"Johnny Joey Jones, Rick Adamson, Cary Hite, Cassidy Brown",8 hrs and 30 mins,06-27-23,English
Shadow's Seduction,Kresley Cole,Robert Petkoff,7 hrs and 28 mins,07-11-23,English
The Heat Will Kill You First,Jeff Goodell,L. J. Ganser,10 hrs and 7 mins,07-11-23,English
The Parrot and the Igloo,David Lipsky,Mike Chamberlain,18 hrs and 46 mins,07-11-23,English
Under the Radar,Melanie Moreland,"Maxine Mitchell, John Lane",6 hrs and 57 mins,07-13-23,English
Beautiful Thorns,"Jaymin Eve, Tate James","Brooke Daniels, Lucas Webley",10 hrs and 21 mins,07-13-23,English
Maniac,Onley James,Liam DiCosimo,7 hrs and 56 mins,06-23-23,English
Devil's Advocate,"T.B. Markinson, Miranda MacLeod",Angela Dawe,9 hrs and 43 mins,06-21-23,English
An Evil Heart,Linda Castillo,Kathleen McInerney,9 hrs and 25 mins,07-11-23,English
Aftershock,Joshua Dalzelle,Paul Heitsch,8 hrs and 25 mins,06-27-23,English
Beyond the Story,"BTS, Myeongseok Kang, Anton Hur - translator, Slin Jung - translator, Clare Richards - translator","Kim Young-Gi, Park Chan-won",11 hrs and 18 mins,07-09-23,English
Devious Obsession,S. Massery,"Teddy Hamilton, Desireé Ketchum",11 hrs and 14 mins,06-29-23,English
Murder in Bermuda,"James Patterson, Aaron Tracy, Thaddeus McCants","Mary-Louise Parker, Ronald Peet, Kim Aria Peterson, full cast",4 hrs,05-24-23,English
One Touch,Lena Hendrix,"Sebastian York, Erin Mallon",8 hrs and 9 mins,06-30-23,English
His Pretty Little Burden,Nicci Harris,"Shane East, Sofia Lette",12 hrs and 8 mins,06-27-23,English
The Secret History,Donna Tartt,Donna Tartt,22 hrs and 3 mins,07-11-23,English
Meet Your Match,Kandi Steiner,"Edward Black, Megan Wicks",9 hrs and 32 mins,07-03-23,English
Dead of Winter,Darcy Coates,Emily Ellet,11 hrs and 16 mins,07-03-23,English
Echoes Fade,Jeff Carson,Sean Patrick Hopkins,7 hrs and 10 mins,07-06-23,English
Hunter's Descent,Alice Winters,Michael Ferraiuolo,9 hrs and 19 mins,07-07-23,English
Good Fat Is Good for Women,Elizabeth Bright,Maria McCann,6 hrs and 23 mins,06-16-23,English
La Estrategia Emergente [The Emerging Strategy],Alejandro Salazar Yusti,Alejandro Salazar,6 hrs and 53 mins,06-21-23,Spanish
Disentangling from Emotionally Immature People,Lindsay C. Gibson PsyD,Rachel Perry,9 hrs and 23 mins,07-01-23,English
Marigold,Melissa Brayden,Lula Larkin,10 hrs and 28 mins,07-11-23,English
The Traitor,Anthony Ryan,Steven Brand,19 hrs and 15 mins,07-11-23,English
Dread and Buried,Angie Fox,Tavia Gilbert,9 hrs and 25 mins,06-20-23,English
Grace Note,J. Bengtsson,"Andi Arndt, Zachary Webber",11 hrs and 49 mins,06-28-23,English
"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)","Travis A. Everett, Andrew Hutz, Mike Meyers - editor",Timothy Howard Jackson,48 hrs and 27 mins,06-27-23,English
Cheerfulness,Garrison Keillor,Garrison Keillor,8 hrs and 59 mins,06-21-23,English
Must Love Flowers,Debbie Macomber,Thérèse Plummer,8 hrs and 31 mins,07-11-23,English
The Rhine River Job,Vince Milam,Tim H. Dixon,9 hrs and 23 mins,06-21-23,English
How I Rob Banks,FC,Paul Brion,7 hrs and 5 mins,06-27-23,English
The Language of Emotions (Revised and Updated),Karla McLaren M.Ed,Karla McLaren M.Ed,20 hrs and 29 mins,06-27-23,English
Cold Snap,Toni Anderson,Eric G. Dove,12 hrs and 12 mins,06-23-23,English
Revenge of the Furballs,D.M. Guay,Todd Haberkorn,8 hrs and 51 mins,07-11-23,English
Winter’s Gifts,Ben Aaronovitch,Penelope Rawlins,5 hrs and 29 mins,06-23-23,English
The Sorcerer's Army,E.G. Foley,Jake Benson,28 hrs and 3 mins,07-03-23,English
Plays Well with Others,Lauren Blakely,"Erin Mallon, Teddy Hamilton",8 hrs and 49 mins,07-12-23,English
Contractually Yours,Nadia Lee,"Sebastian York, Maxine Mitchell",11 hrs and 44 mins,06-10-23,English
Peace Spawner,Alvin Atwater,"Matt Hicks, Allie Piper",18 hrs and 8 mins,07-06-23,English
Swimming in the Sacred,Rachel Harris PhD,Kathleen Li,7 hrs and 49 mins,06-27-23,English
Slow Time Between the Stars,John Scalzi,Kay Eluvian,56 mins,06-27-23,English
The Full Fee Agent,"Chris Voss, Steve Shull",Steve Shull,5 hrs and 6 mins,06-12-23,English
Fear the Silence,Robert Bryndza,Jilly Bond,9 hrs and 36 mins,07-06-23,English
Darkkin Knight,John Conroe,Lily Ganser,13 hrs and 24 mins,06-13-23,English
Champion's Trial,JJ Bookerson,"Anne Marie Lebeaur, Jack Smith",14 hrs and 54 mins,07-12-23,English
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,Jessica Pan,8 hrs and 52 mins,06-27-23,English
Rich Kid,Khan Nguyen,Abdullah Fahim,1 hr and 29 mins,06-12-23,English
The AI Revolution in Medicine,"Peter Lee, Carey Goldberg, Isaac Kohane",J. Hunter Ackerman,7 hrs and 24 mins,07-03-23,English
I Married a Dryad,Regine Abel,Daryl Mayfield,8 hrs and 26 mins,06-23-23,English
Hidden Beneath,Barbara Ross,Dara Rosenberg,6 hrs and 17 mins,06-27-23,English
The Ruby Heart of the Dragon,Mark Borax,Mark Borax,9 hrs and 11 mins,06-06-23,English
They All Died Screaming,"Kristopher Triana, Blood Bound Books",Chuck Brugee,8 hrs and 37 mins,06-12-23,English
Healing Power,Greg Mitchell,Greg Mitchell,6 hrs and 2 mins,06-12-23,English
The Gift of Violence,"Matt Thornton, Peter Boghossian","Matt Thornton, Salome Thornton, Peter Boghossian",9 hrs and 27 mins,06-15-23,English
The Other Mistress,Shanora Williams,"Ebony Mendez, Niecey Bethea",7 hrs and 42 mins,06-27-23,English
Rise of the Giants,Steve Gilmore,Jeremy Arthur,8 hrs and 55 mins,06-22-23,English
The Science of Reading in Action,Malia Hollowell,Malia Hollowell,2 hrs and 59 mins,06-14-23,English
Our Cosmic Origin,Ismael Perez,Benjamin Powell,11 hrs and 54 mins,06-26-23,English
Catalyst,Nicole Fanning,"Maxine Mitchell, Grayson Owens",16 hrs and 29 mins,07-06-23,English
Leviathan,Darius Hinks,Theo Solomon,12 hrs and 13 mins,06-24-23,English
The Truth About the Accident,Nicole Trope,Taryn Ryan,8 hrs and 42 mins,06-30-23,English
Heartstrong,Ellidy Pullin,"Chris Pullin, Ellidy Pullin",6 hrs and 22 mins,07-01-23,English
El cuerpo grita lo que las emociones callan,Carolina Novoa Arias,Carolina Novoa Arias,4 hrs and 17 mins,06-07-23,Spanish
Ultra-Processed People,Chris van Tulleken,"Chris van Tulleken, Dr. Xand van Tulleken",11 hrs and 35 mins,06-27-23,English
The Puppeteers,Jason Chaffetz,Jason Chaffetz,8 hrs and 49 mins,06-06-23,English
